"","STATION","STATION_NAME","ELEVATION","LATITUDE","LONGITUDE","DATE","HPCP","Measurement.Flag","Quality.Flag","month"
"1","COOP:050843","BOULDER 2 CO US",1650.5,40.03389,-105.28111,2005-01-01 01:00:00,0,"g"," ",1
"2","COOP:050843","BOULDER 2 CO US",1650.5,40.03389,-105.28111,2005-01-02 06:00:00,999.99,"{"," ",1
"3","COOP:050843","BOULDER 2 CO US",1650.5,40.03389,-105.28111,2005-01-02 08:00:00,999.99,"}"," ",1
"4","COOP:050843","BOULDER 2 CO US",1650.5,40.03389,-105.28111,2005-01-05 08:00:00,0.1," "," ",1
"5","COOP:050843","BOULDER 2 CO US",1650.5,40.03389,-105.28111,2005-01-12 04:00:00,0.1," "," ",1
"6","COOP:050843","BOULDER 2 CO US",1650.5,40.03389,-105.28111,2005-01-12 06:00:00,0.1," "," ",1
"7","COOP:050843","BOULDER 2 CO US",1650.5,40.03389,-105.28111,2005-01-12 08:00:00,0.1," "," ",1
"8","COOP:050843","BOULDER 2 CO US",1650.5,40.03389,-105.28111,2005-01-29 23:00:00,0.1," "," ",1
"9","COOP:050843","BOULDER 2 CO US",1650.5,40.03389,-105.28111,2005-01-30 00:00:00,0.1," "," ",1
"10","COOP:050843","BOULDER 2 CO US",1650.5,40.03389,-105.28111,2005-01-30 01:00:00,0.1," "," ",1
"11","COOP:050843","BOULDER 2 CO US",1650.5,40.03389,-105.28111,2005-01-30 22:00:00,0.1," "," ",1
"12","COOP:050843","BOULDER 2 CO US",1650.5,40.03389,-105.28111,2005-01-30 23:00:00,0.1," "," ",1
"13","COOP:050843","BOULDER 2 CO US",1650.5,40.03389,-105.28111,2005-01-31 01:00:00,0.1," "," ",1
"14","COOP:050843","BOULDER 2 CO US",1650.5,40.03389,-105.28111,2005-01-31 09:00:00,0.1," "," ",1
"15","COOP:050843","BOULDER 2 CO US",1650.5,40.03389,-105.28111,2005-01-31 10:00:00,0.1," "," ",1
